timestamp;buyer;seller;symbol;currency;price;quantity
0;;;CHOCOLATE;SEASHELLS;7888;8
0;;;STRAWBERRIES;SEASHELLS;4036;6
100;;;AMETHYSTS;SEASHELLS;9998;1
100;;;STARFRUIT;SEASHELLS;5027;4
100;;;STARFRUIT;SEASHELLS;5027;7
200;;;ROSES;SEASHELLS;14423;2
300;;;STRAWBERRIES;SEASHELLS;4038;10
400;;;CHOCOLATE;SEASHELLS;7891;5
800;;;AMETHYSTS;SEASHELLS;9998;1
800;;;CHOCOLATE;SEASHELLS;7891;5
800;;;STARFRUIT;SEASHELLS;5023;1
800;;;STARFRUIT;SEASHELLS;5023;1
900;;;STRAWBERRIES;SEASHELLS;4038;9
1000;;;AMETHYSTS;SEASHELLS;9995;7
1000;;;GIFT_BASKET;SEASHELLS;70658;7
1100;;;AMETHYSTS;SEASHELLS;10002;6
1100;;;AMETHYSTS;SEASHELLS;10002;4
1100;;;STRAWBERRIES;SEASHELLS;4037;5
1300;;;AMETHYSTS;SEASHELLS;9996;1
1300;;;STARFRUIT;SEASHELLS;5021;2
1400;;;STARFRUIT;SEASHELLS;5023;2
1500;;;STARFRUIT;SEASHELLS;5022;1
1800;;;STARFRUIT;SEASHELLS;5026;5
2000;;;STRAWBERRIES;SEASHELLS;4038;4
2100;SUBMISSION;;GIFT_BASKET;SEASHELLS;70626;9
2200;;SUBMISSION;CHOCOLATE;SEASHELLS;7889;36
2200;;SUBMISSION;ROSES;SEASHELLS;14412;9
2200;;SUBMISSION;STRAWBERRIES;SEASHELLS;4037;45
2300;;;CHOCOLATE;SEASHELLS;7890;10
2500;;;ROSES;SEASHELLS;14417;5
2500;;;STRAWBERRIES;SEASHELLS;4036;9
2600;;;AMETHYSTS;SEASHELLS;9996;1
2600;;;STARFRUIT;SEASHELLS;5022;1
2600;;;STARFRUIT;SEASHELLS;5022;6
2600;;;STARFRUIT;SEASHELLS;5022;1
2700;;;STRAWBERRIES;SEASHELLS;4037;5
2700;;;STRAWBERRIES;SEASHELLS;4038;9
2900;;;CHOCOLATE;SEASHELLS;7888;9
3000;;;STARFRUIT;SEASHELLS;5023;1
3300;;;ROSES;SEASHELLS;14420;4
3700;;;AMETHYSTS;SEASHELLS;9998;3
3700;;;STARFRUIT;SEASHELLS;5022;1
3800;;;AMETHYSTS;SEASHELLS;10005;2
3800;;;STARFRUIT;SEASHELLS;5028;2
3900;;;STARFRUIT;SEASHELLS;5026;1
4100;;;AMETHYSTS;SEASHELLS;10002;1
4100;;;STARFRUIT;SEASHELLS;5025;3
4100;;;STARFRUIT;SEASHELLS;5025;1
4300;;;AMETHYSTS;SEASHELLS;9996;1
4300;;;STARFRUIT;SEASHELLS;5020;4
4300;;;STARFRUIT;SEASHELLS;5020;1
4500;;;STARFRUIT;SEASHELLS;5020;1
4600;;;CHOCOLATE;SEASHELLS;7890;8
5300;;;AMETHYSTS;SEASHELLS;9998;2
5300;;;STARFRUIT;SEASHELLS;5019;7
5700;;;AMETHYSTS;SEASHELLS;10002;1
5700;;;STARFRUIT;SEASHELLS;5019;2
5700;;;STRAWBERRIES;SEASHELLS;4037;7
6100;;;CHOCOLATE;SEASHELLS;7894;7
6200;;;ORCHIDS;SEASHELLS;1073;5
6300;;;AMETHYSTS;SEASHELLS;9996;1
6300;;;STARFRUIT;SEASHELLS;5018;10
6300;;;STARFRUIT;SEASHELLS;5018;1
6500;;;AMETHYSTS;SEASHELLS;10002;1
6600;;;CHOCOLATE;SEASHELLS;7894;8
6700;;;ROSES;SEASHELLS;14417;4
6900;;;AMETHYSTS;SEASHELLS;9998;5
6900;;;CHOCOLATE;SEASHELLS;7893;7
7200;;;CHOCOLATE;SEASHELLS;7894;4
7500;;;STARFRUIT;SEASHELLS;5021;5
7700;;;AMETHYSTS;SEASHELLS;10002;3
7700;;;STARFRUIT;SEASHELLS;5025;1
7800;;;ROSES;SEASHELLS;14404;4
8000;;;AMETHYSTS;SEASHELLS;9998;1
8000;;;AMETHYSTS;SEASHELLS;10004;2
8000;;;STARFRUIT;SEASHELLS;5023;1
8000;;;STARFRUIT;SEASHELLS;5025;2
8100;;;STARFRUIT;SEASHELLS;5019;1
8600;;;ROSES;SEASHELLS;14398;2
8800;;;STRAWBERRIES;SEASHELLS;4035;4
9100;;;CHOCOLATE;SEASHELLS;7896;5
9100;;;STARFRUIT;SEASHELLS;5018;1
9400;;;AMETHYSTS;SEASHELLS;10004;2
9500;;;CHOCOLATE;SEASHELLS;7894;6
9600;;;AMETHYSTS;SEASHELLS;9995;9
9600;;;STARFRUIT;SEASHELLS;5019;1
9600;;;STARFRUIT;SEASHELLS;5021;3
9700;;;STARFRUIT;SEASHELLS;5019;1
9900;;;ROSES;SEASHELLS;14388;1
10000;;;CHOCOLATE;SEASHELLS;7899;5
10200;;;AMETHYSTS;SEASHELLS;10004;2
10400;;;AMETHYSTS;SEASHELLS;10002;1
10700;;;AMETHYSTS;SEASHELLS;9998;1
10800;;;STARFRUIT;SEASHELLS;5022;1
10800;;;STARFRUIT;SEASHELLS;5022;11
11400;;;AMETHYSTS;SEASHELLS;9995;9
11400;;;STARFRUIT;SEASHELLS;5023;1
11400;;;STARFRUIT;SEASHELLS;5020;2
